CodMun,REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP
4315156,4 - Sul,43,RS,Progresso,6379,2 - 5001 até 10000
4315172,4 - Sul,43,RS,Protásio Alves,2034,1 - Até 5000
4315206,4 - Sul,43,RS,Putinga,4159,1 - Até 5000
4315305,4 - Sul,43,RS,Quaraí,23532,4 - 20001 até 50000
4315313,4 - Sul,43,RS,Quatro Irmãos,1856,1 - Até 5000
4315321,4 - Sul,43,RS,Quevedos,2824,1 - Até 5000
4315354,4 - Sul,43,RS,Quinze de Novembro,3826,1 - Até 5000
4315404,4 - Sul,43,RS,Redentora,11187,3 - 10001 até 20000
4315453,4 - Sul,43,RS,Relvado,2187,1 - Até 5000
4315503,4 - Sul,43,RS,Restinga Sêca,16315,3 - 10001 até 20000
4315552,4 - Sul,43,RS,Rio dos Índios,3317,1 - Até 5000
4315602,4 - Sul,43,RS,Rio Grande,209378,6 - 100001 até 500000
4315701,4 - Sul,43,RS,Rio Pardo,39000,4 - 20001 até 50000
4315750,4 - Sul,43,RS,Riozinho,4607,1 - Até 5000
4315800,4 - Sul,43,RS,Roca Sales,11101,3 - 10001 até 20000
4315909,4 - Sul,43,RS,Rodeio Bonito,5967,2 - 5001 até 10000
4315958,4 - Sul,43,RS,Rolador,2515,1 - Até 5000
4316006,4 - Sul,43,RS,Rolante,20920,4 - 20001 até 50000
4316105,4 - Sul,43,RS,Ronda Alta,10695,3 - 10001 até 20000
4316204,4 - Sul,43,RS,Rondinha,5497,2 - 5001 até 10000
4316303,4 - Sul,43,RS,Roque Gonzales,7245,2 - 5001 até 10000
4316402,4 - Sul,43,RS,Rosário do Sul,40727,4 - 20001 até 50000
4316428,4 - Sul,43,RS,Sagrada Família,2676,1 - Até 5000
4316436,4 - Sul,43,RS,Saldanha Marinho,2849,1 - Até 5000
4316451,4 - Sul,43,RS,Salto do Jacuí,12490,3 - 10001 até 20000
4316477,4 - Sul,43,RS,Salvador das Missões,2776,1 - Até 5000
4316501,4 - Sul,43,RS,Salvador do Sul,7434,2 - 5001 até 10000
4316600,4 - Sul,43,RS,Sananduva,16237,3 - 10001 até 20000
4316709,4 - Sul,43,RS,Santa Bárbara do Sul,8694,2 - 5001 até 10000
4316733,4 - Sul,43,RS,Santa Cecília do Sul,1695,1 - Até 5000
4316758,4 - Sul,43,RS,Santa Clara do Sul,6285,2 - 5001 até 10000
4316808,4 - Sul,43,RS,Santa Cruz do Sul,127429,6 - 100001 até 500000
4316907,4 - Sul,43,RS,Santa Maria,278445,6 - 100001 até 500000
4316956,4 - Sul,43,RS,Santa Maria do Herval,6358,2 - 5001 até 10000
4316972,4 - Sul,43,RS,Santa Margarida do Sul,2519,1 - Até 5000
4317004,4 - Sul,43,RS,Santana da Boa Vista,8414,2 - 5001 até 10000
4317103,4 - Sul,43,RS,SantAna do Livramento,82312,5 - 50001 até 100000
4317202,4 - Sul,43,RS,Santa Rosa,72753,5 - 50001 até 100000
4317251,4 - Sul,43,RS,Santa Tereza,1780,1 - Até 5000
4317301,4 - Sul,43,RS,Santa Vitória do Palmar,31274,4 - 20001 até 50000
4317400,4 - Sul,43,RS,Santiago,50658,5 - 50001 até 100000
4317509,4 - Sul,43,RS,Santo Ângelo,79101,5 - 50001 até 100000
4317558,4 - Sul,43,RS,Santo Antônio do Palma,2196,1 - Até 5000
4317608,4 - Sul,43,RS,Santo Antônio da Patrulha,42333,4 - 20001 até 50000
4317707,4 - Sul,43,RS,Santo Antônio das Missões,11051,3 - 10001 até 20000
4317756,4 - Sul,43,RS,Santo Antônio do Planalto,2059,1 - Até 5000
4317806,4 - Sul,43,RS,Santo Augusto,14334,3 - 10001 até 20000
4317905,4 - Sul,43,RS,Santo Cristo,14738,3 - 10001 até 20000
4317954,4 - Sul,43,RS,Santo Expedito do Sul,2468,1 - Até 5000
4318002,4 - Sul,43,RS,São Borja,62808,5 - 50001 até 100000
4318051,4 - Sul,43,RS,São Domingos do Sul,3080,1 - Até 5000
4318101,4 - Sul,43,RS,São Francisco de Assis,19382,3 - 10001 até 20000
4318200,4 - Sul,43,RS,São Francisco de Paula,21679,4 - 20001 até 50000
4318309,4 - Sul,43,RS,São Gabriel,62957,5 - 50001 até 100000
4318408,4 - Sul,43,RS,São Jerônimo,23763,4 - 20001 até 50000
4318424,4 - Sul,43,RS,São João da Urtiga,4831,1 - Até 5000
4318432,4 - Sul,43,RS,São João do Polêsine,2646,1 - Até 5000
4318440,4 - Sul,43,RS,São Jorge,2842,1 - Até 5000
4318457,4 - Sul,43,RS,São José das Missões,2714,1 - Até 5000
4318465,4 - Sul,43,RS,São José do Herval,2158,1 - Até 5000
4318481,4 - Sul,43,RS,São José do Hortêncio,4543,1 - Até 5000
4318499,4 - Sul,43,RS,São José do Inhacorá,2205,1 - Até 5000
4318507,4 - Sul,43,RS,São José do Norte,27206,4 - 20001 até 50000
4318606,4 - Sul,43,RS,São José do Ouro,7117,2 - 5001 até 10000
4318614,4 - Sul,43,RS,São José do Sul,2298,1 - Até 5000
4318622,4 - Sul,43,RS,São José dos Ausentes,3496,1 - Até 5000
4318705,4 - Sul,43,RS,São Leopoldo,230914,6 - 100001 até 500000
4318804,4 - Sul,43,RS,São Lourenço do Sul,44580,4 - 20001 até 50000
4318903,4 - Sul,43,RS,São Luiz Gonzaga,35057,4 - 20001 até 50000
4319000,4 - Sul,43,RS,São Marcos,21364,4 - 20001 até 50000
4319109,4 - Sul,43,RS,São Martinho,5779,2 - 5001 até 10000
4319125,4 - Sul,43,RS,São Martinho da Serra,3309,1 - Até 5000
4319158,4 - Sul,43,RS,São Miguel das Missões,7754,2 - 5001 até 10000
4319208,4 - Sul,43,RS,São Nicolau,5677,2 - 5001 até 10000
4319307,4 - Sul,43,RS,São Paulo das Missões,6280,2 - 5001 até 10000
4319356,4 - Sul,43,RS,São Pedro da Serra,3639,1 - Até 5000
4319364,4 - Sul,43,RS,São Pedro das Missões,1998,1 - Até 5000
4319372,4 - Sul,43,RS,São Pedro do Butiá,2991,1 - Até 5000
4319406,4 - Sul,43,RS,São Pedro do Sul,16763,3 - 10001 até 20000
4319505,4 - Sul,43,RS,São Sebastião do Caí,24967,4 - 20001 até 50000
4319604,4 - Sul,43,RS,São Sepé,24403,4 - 20001 até 50000
4319703,4 - Sul,43,RS,São Valentim,3581,1 - Até 5000
4319711,4 - Sul,43,RS,São Valentim do Sul,2265,1 - Até 5000
4319737,4 - Sul,43,RS,São Valério do Sul,2760,1 - Até 5000
4319752,4 - Sul,43,RS,São Vendelino,2154,1 - Até 5000
4319802,4 - Sul,43,RS,São Vicente do Sul,8817,2 - 5001 até 10000
4319901,4 - Sul,43,RS,Sapiranga,80311,5 - 50001 até 100000
4320008,4 - Sul,43,RS,Sapucaia do Sul,139476,6 - 100001 até 500000
4320107,4 - Sul,43,RS,Sarandi,23398,4 - 20001 até 50000
4320206,4 - Sul,43,RS,Seberi,11144,3 - 10001 até 20000
4320230,4 - Sul,43,RS,Sede Nova,3050,1 - Até 5000
4320263,4 - Sul,43,RS,Segredo,7428,2 - 5001 até 10000
4320305,4 - Sul,43,RS,Selbach,5152,2 - 5001 até 10000
4320321,4 - Sul,43,RS,Senador Salgado Filho,2880,1 - Até 5000
4320354,4 - Sul,43,RS,Sentinela do Sul,5528,2 - 5001 até 10000
4320404,4 - Sul,43,RS,Serafina Corrêa,16184,3 - 10001 até 20000
4320453,4 - Sul,43,RS,Sério,2198,1 - Até 5000
4320503,4 - Sul,43,RS,Sertão,6065,2 - 5001 até 10000
4320552,4 - Sul,43,RS,Sertão Santana,6317,2 - 5001 até 10000
4320578,4 - Sul,43,RS,Sete de Setembro,2114,1 - Até 5000
4320602,4 - Sul,43,RS,Severiano de Almeida,3868,1 - Até 5000
4320651,4 - Sul,43,RS,Silveira Martins,2481,1 - Até 5000
4320677,4 - Sul,43,RS,Sinimbu,10408,3 - 10001 até 20000
4320701,4 - Sul,43,RS,Sobradinho,15018,3 - 10001 até 20000
4320800,4 - Sul,43,RS,Soledade,31361,4 - 20001 até 50000
4320859,4 - Sul,43,RS,Tabaí,4526,1 - Até 5000
4320909,4 - Sul,43,RS,Tapejara,22077,4 - 20001 até 50000
4321006,4 - Sul,43,RS,Tapera,10814,3 - 10001 até 20000
4321105,4 - Sul,43,RS,Tapes,17425,3 - 10001 até 20000
4321204,4 - Sul,43,RS,Taquara,57544,5 - 50001 até 100000
4321303,4 - Sul,43,RS,Taquari,27207,4 - 20001 até 50000
4321329,4 - Sul,43,RS,Taquaruçu do Sul,3101,1 - Até 5000
4321352,4 - Sul,43,RS,Tavares,5567,2 - 5001 até 10000
4321402,4 - Sul,43,RS,Tenente Portela,14008,3 - 10001 até 20000
4321436,4 - Sul,43,RS,Terra de Areia,10783,3 - 10001 até 20000
4321451,4 - Sul,43,RS,Teutônia,30846,4 - 20001 até 50000
4321469,4 - Sul,43,RS,Tio Hugo,2946,1 - Até 5000
4321477,4 - Sul,43,RS,Tiradentes do Sul,6294,2 - 5001 até 10000
4321493,4 - Sul,43,RS,Toropi,2970,1 - Até 5000
4321501,4 - Sul,43,RS,Torres,37564,4 - 20001 até 50000
4321600,4 - Sul,43,RS,Tramandaí,47521,4 - 20001 até 50000
4321626,4 - Sul,43,RS,Travesseiro,2391,1 - Até 5000
4321634,4 - Sul,43,RS,Três Arroios,2851,1 - Até 5000
4321667,4 - Sul,43,RS,Três Cachoeiras,10904,3 - 10001 até 20000
4321709,4 - Sul,43,RS,Três Coroas,26589,4 - 20001 até 50000
4321808,4 - Sul,43,RS,Três de Maio,24497,4 - 20001 até 50000
4321832,4 - Sul,43,RS,Três Forquilhas,2898,1 - Até 5000
4321857,4 - Sul,43,RS,Três Palmeiras,4457,1 - Até 5000
4321907,4 - Sul,43,RS,Três Passos,24632,4 - 20001 até 50000
